iter	Passed	Remaining
930	26786	1985
931	26807	1955
932	26837	1927
933	26873	1898
934	26912	1870
935	26942	1842
936	26974	1813
937	27004	1784
938	27033	1756
939	27062	1727
940	27089	1698
941	27114	1669
942	27136	1640
943	27161	1611
944	27185	1582
945	27209	1553
946	27232	1524
947	27253	1494
948	27282	1466
949	27311	1437
950	27333	1408
951	27367	1379
952	27397	1351
953	27428	1322
954	27450	1293
955	27475	1264
956	27506	1235
957	27530	1206
958	27553	1177
959	27577	1149
960	27602	1120
961	27626	1091
962	27648	1062
963	27671	1033
964	27695	1004
965	27721	975
966	27745	946
967	27772	918
968	27796	889
969	27824	860
970	27846	831
971	27870	802
972	27894	774
973	27924	745
974	27948	716
975	27978	687
976	28006	659
977	28030	630
978	28054	601
979	28076	572
980	28098	544
981	28122	515
982	28146	486
983	28170	458
984	28196	429
985	28230	400
986	28256	372
987	28277	343
988	28299	314
989	28322	286
990	28349	257
991	28371	228
992	28395	200
993	28424	171
994	28454	142
995	28480	114
996	28503	85
997	28524	57
998	28551	28
999	28573	0
